,Name,Metaphor,Link
131,"PlayAGS, Inc.",AGS,https://www.tradingview.com/symbols/NYSE-AGS/
132,"Agiliti, Inc.",AGTI,https://www.tradingview.com/symbols/NYSE-AGTI/
133,"Argan, Inc.",AGX,https://www.tradingview.com/symbols/NYSE-AGX/
134,"Agilysys, Inc.",AGYS,https://www.tradingview.com/symbols/NASDAQ-AGYS/
135,AdaptHealth Corp.,AHCO,https://www.tradingview.com/symbols/NASDAQ-AHCO/
136,"C3.ai, Inc.",AI,https://www.tradingview.com/symbols/NYSE-AI/
137,AIB Acquisition Corporation,AIB,https://www.tradingview.com/symbols/NASDAQ-AIB/
138,"American International Group, Inc. New",AIG,https://www.tradingview.com/symbols/NYSE-AIG/
139,Senmiao Technology Limited,AIHS,https://www.tradingview.com/symbols/NASDAQ-AIHS/
140,Arrowroot Acquisition Corp.,AILE,https://www.tradingview.com/symbols/NASDAQ-AILE/
141,AIM ImmunoTech Inc.,AIM,https://www.tradingview.com/symbols/AMEX-AIM/
142,"Ainos, Inc.",AIMD,https://www.tradingview.com/symbols/NASDAQ-AIMD/
143,Albany International Corporation,AIN,https://www.tradingview.com/symbols/NYSE-AIN/
144,Ashford Inc. (Holding Company),AINC,https://www.tradingview.com/symbols/AMEX-AINC/
145,"Arteris, Inc.",AIP,https://www.tradingview.com/symbols/NASDAQ-AIP/
146,AAR Corp.,AIR,https://www.tradingview.com/symbols/NYSE-AIR/
147,reAlpha Tech Corp.,AIRE,https://www.tradingview.com/symbols/NASDAQ-AIRE/
148,"Airgain, Inc.",AIRG,https://www.tradingview.com/symbols/NASDAQ-AIRG/
149,Air Industries Group,AIRI,https://www.tradingview.com/symbols/AMEX-AIRI/
150,Montana Technologies Corp,AIRJ,https://www.tradingview.com/symbols/NASDAQ-AIRJ/
151,"AirSculpt Technologies, Inc.",AIRS,https://www.tradingview.com/symbols/NASDAQ-AIRS/
152,"Air T, Inc.",AIRT,https://www.tradingview.com/symbols/NASDAQ-AIRT/
153,"Airship AI Holdings, Inc",AISP,https://www.tradingview.com/symbols/NASDAQ-AISP/
154,"Applied Industrial Technologies, Inc.",AIT,https://www.tradingview.com/symbols/NYSE-AIT/
155,AI TRANSPORTATION ACQUISITION CORP,AITR,https://www.tradingview.com/symbols/NASDAQ-AITR/
156,"Assurant, Inc.",AIZ,https://www.tradingview.com/symbols/NYSE-AIZ/
157,Arthur J. Gallagher & Co.,AJG,https://www.tradingview.com/symbols/NYSE-AJG/
158,a.k.a. Brands Holding Corp.,AKA,https://www.tradingview.com/symbols/NYSE-AKA/
159,"Akamai Technologies, Inc.",AKAM,https://www.tradingview.com/symbols/NASDAQ-AKAM/
160,Akanda Corp.,AKAN,https://www.tradingview.com/symbols/NASDAQ-AKAN/
161,"Akebia Therapeutics, Inc.",AKBA,https://www.tradingview.com/symbols/NASDAQ-AKBA/
162,"Akili, Inc.",AKLI,https://www.tradingview.com/symbols/NASDAQ-AKLI/
163,"Akero Therapeutics, Inc.",AKRO,https://www.tradingview.com/symbols/NASDAQ-AKRO/
164,"Akoustis Technologies, Inc.",AKTS,https://www.tradingview.com/symbols/NASDAQ-AKTS/
165,"Akoya BioSciences, Inc.",AKYA,https://www.tradingview.com/symbols/NASDAQ-AKYA/
166,Air Lease Corporation,AL,https://www.tradingview.com/symbols/NYSE-AL/
167,"Astera Labs, Inc.",ALAB,https://www.tradingview.com/symbols/NASDAQ-ALAB/
168,Albemarle Corporation,ALB,https://www.tradingview.com/symbols/NYSE-ALB/
169,Avalon GloboCare Corp.,ALBT,https://www.tradingview.com/symbols/NASDAQ-ALBT/
170,AltC Acquisition Corp.,ALCC,https://www.tradingview.com/symbols/NYSE-ALCC/
171,"Alternus Clean Energy, Inc.",ALCE,https://www.tradingview.com/symbols/NASDAQ-ALCE/
172,"Alico, Inc.",ALCO,https://www.tradingview.com/symbols/NASDAQ-ALCO/
173,Alchemy Investments Acquisition Corp 1,ALCY,https://www.tradingview.com/symbols/NASDAQ-ALCY/
174,"Aldeyra Therapeutics, Inc.",ALDX,https://www.tradingview.com/symbols/NASDAQ-ALDX/
175,"Allete, Inc.",ALE,https://www.tradingview.com/symbols/NYSE-ALE/
176,"Alector, Inc.",ALEC,https://www.tradingview.com/symbols/NASDAQ-ALEC/
177,"Alamo Group, Inc.",ALG,https://www.tradingview.com/symbols/NYSE-ALG/
178,"Allegro MicroSystems, Inc.",ALGM,https://www.tradingview.com/symbols/NASDAQ-ALGM/
179,"Align Technology, Inc.",ALGN,https://www.tradingview.com/symbols/NASDAQ-ALGN/
180,"Aligos Therapeutics, Inc.",ALGS,https://www.tradingview.com/symbols/NASDAQ-ALGS/
181,Allegiant Travel Company,ALGT,https://www.tradingview.com/symbols/NASDAQ-ALGT/
182,"Alignment Healthcare, Inc.",ALHC,https://www.tradingview.com/symbols/NASDAQ-ALHC/
